step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L6.qk_lut.T_soft,L6.qk_lut.T_sel,L6.v_lut.T_soft,L6.v_lut.T_sel,L6.out_proj.T_soft,L6.out_proj.T_sel,L7.qk_lut.T_soft,L7.qk_lut.T_sel,L7.v_lut.T_soft,L7.v_lut.T_sel,L7.out_proj.T_soft,L7.out_proj.T_sel,L8.qk_lut.T_soft,L8.qk_lut.T_sel,L8.v_lut.T_soft,L8.v_lut.T_sel,L8.out_proj.T_soft,L8.out_proj.T_sel,L9.qk_lut.T_soft,L9.qk_lut.T_sel,L9.v_lut.T_soft,L9.v_lut.T_sel,L9.out_proj.T_soft,L9.out_proj.T_sel,L10.qk_lut.T_soft,L10.qk_lut.T_sel,L10.v_lut.T_soft,L10.v_lut.T_sel,L10.out_proj.T_soft,L10.out_proj.T_sel,L11.qk_lut.T_soft,L11.qk_lut.T_sel,L11.v_lut.T_soft,L11.v_lut.T_sel,L11.out_proj.T_soft,L11.out_proj.T_sel
6600,0.529575,0.357460,0.524594,0.357437,0.822511,0.188913,1.144043,0.365880,1.097004,0.363212,0.970703,0.234355,1.203332,0.376339,1.364313,0.331006,0.942692,0.247814,1.231680,0.389357,1.171736,0.358494,0.906035,0.264704,1.246266,0.400476,1.263622,0.358107,0.896081,0.269023,1.449062,0.390273,1.188557,0.335824,0.593542,0.302065,1.402361,0.391342,1.354257,0.346761,0.720109,0.293999,1.458658,0.382339,1.489011,0.340142,0.890562,0.262914,1.993824,0.362571,1.266796,0.358847,0.659997,0.213041,1.248446,0.439568,1.221538,0.377220,0.653861,0.284481,0.934217,0.511109,1.111753,0.417699,0.519055,0.422482,0.890354,0.481976,0.741296,0.539716,0.551483,0.507739
6800,0.533014,0.355172,0.533210,0.354630,0.852214,0.185987,1.159669,0.362353,1.120894,0.358619,1.003123,0.230550,1.220525,0.372560,1.405443,0.324866,0.973750,0.244007,1.254784,0.386025,1.200332,0.352291,0.930131,0.260083,1.265732,0.395696,1.296651,0.352143,0.920897,0.265106,1.482228,0.385459,1.224060,0.331021,0.606428,0.298554,1.432225,0.386296,1.398803,0.341090,0.740216,0.290028,1.487080,0.377804,1.537451,0.334279,0.919094,0.260428,2.074042,0.355658,1.312727,0.352243,0.677496,0.209540,1.277899,0.434860,1.257861,0.373210,0.671714,0.279836,0.951253,0.509799,1.139304,0.414178,0.523956,0.419035,0.898297,0.479870,0.750318,0.541498,0.555210,0.508600
7000,0.538218,0.354118,0.541888,0.351936,0.881027,0.183315,1.176124,0.358999,1.143566,0.354166,1.034561,0.226945,1.236614,0.368711,1.443388,0.319202,1.004049,0.240209,1.274250,0.382247,1.228699,0.347013,0.955028,0.256062,1.285458,0.392526,1.330313,0.346211,0.945678,0.261390,1.514531,0.380654,1.258327,0.325158,0.617312,0.294137,1.463425,0.381850,1.437066,0.335799,0.759384,0.285699,1.516545,0.372719,1.588419,0.327046,0.944535,0.256658,2.155658,0.348422,1.359010,0.345660,0.695169,0.206200,1.305218,0.430932,1.292233,0.367174,0.687834,0.274863,0.966165,0.506112,1.166049,0.410954,0.529445,0.415358,0.905617,0.477867,0.758719,0.542727,0.558847,0.509383
7200,0.542104,0.352515,0.549707,0.349139,0.910961,0.180899,1.190794,0.355477,1.168562,0.348937,1.063612,0.223356,1.255073,0.364469,1.483241,0.313440,1.034932,0.236847,1.292628,0.377584,1.256119,0.341786,0.978209,0.252322,1.305359,0.388232,1.362534,0.340467,0.970590,0.258002,1.547932,0.375869,1.290351,0.320030,0.627956,0.289661,1.490038,0.376925,1.474235,0.329863,0.779333,0.281479,1.543173,0.367367,1.638182,0.320249,0.972426,0.253196,2.236857,0.341246,1.406670,0.340201,0.712291,0.203752,1.329893,0.426439,1.324939,0.361895,0.704402,0.269472,0.979957,0.502050,1.196336,0.406762,0.534780,0.410905,0.913785,0.476112,0.767967,0.544126,0.562566,0.510130
7400,0.545488,0.351103,0.558069,0.346371,0.940953,0.178758,1.208468,0.352749,1.191952,0.344692,1.095657,0.220866,1.273180,0.360982,1.520626,0.308653,1.065972,0.234431,1.313609,0.373902,1.283196,0.336937,1.003526,0.249175,1.328517,0.384061,1.393661,0.335592,0.995219,0.254666,1.581200,0.371225,1.325388,0.316134,0.640131,0.286171,1.516240,0.372408,1.518869,0.325768,0.799947,0.278170,1.572005,0.362873,1.685348,0.314359,0.999798,0.249840,2.319377,0.334041,1.454058,0.333863,0.729227,0.200975,1.356835,0.422080,1.360242,0.357671,0.721131,0.264907,0.997133,0.499740,1.225915,0.403296,0.541478,0.406877,0.920700,0.473747,0.777113,0.545091,0.565915,0.510635
7600,0.547978,0.349115,0.565854,0.343216,0.970647,0.176632,1.221808,0.349465,1.215921,0.340280,1.127018,0.218045,1.289223,0.357416,1.557565,0.303156,1.095761,0.230622,1.330134,0.370047,1.311048,0.332811,1.028685,0.245661,1.347646,0.379874,1.423397,0.329597,1.018785,0.250991,1.613052,0.366652,1.360354,0.311579,0.652245,0.282457,1.540827,0.367762,1.561762,0.319651,0.819260,0.273682,1.598165,0.358590,1.729979,0.308867,1.025226,0.246491,2.399993,0.327252,1.500389,0.328384,0.746606,0.198682,1.380692,0.417981,1.395100,0.352498,0.738817,0.260234,1.015552,0.498667,1.256772,0.399347,0.549370,0.401595,0.927938,0.471479,0.786651,0.545979,0.569900,0.511222
7800,0.550624,0.347473,0.573212,0.340626,0.998174,0.174488,1.236381,0.346231,1.236376,0.335519,1.156372,0.214235,1.303905,0.353247,1.594723,0.298007,1.123938,0.227804,1.348610,0.366605,1.336730,0.328548,1.052889,0.242989,1.368318,0.375401,1.457047,0.324441,1.043343,0.247513,1.645537,0.362344,1.392349,0.307289,0.664042,0.278952,1.567737,0.363463,1.601572,0.314128,0.837789,0.270025,1.629424,0.354041,1.777625,0.303844,1.053061,0.244034,2.479009,0.321070,1.547808,0.323276,0.763405,0.196683,1.406176,0.413222,1.430318,0.347966,0.757060,0.256374,1.030280,0.495734,1.289506,0.395403,0.557787,0.396386,0.933422,0.469133,0.793841,0.546191,0.573286,0.511542
8000,0.553280,0.345642,0.580660,0.337999,1.027004,0.172580,1.249108,0.343200,1.257833,0.331574,1.187007,0.211829,1.320855,0.350232,1.630331,0.293291,1.152568,0.225093,1.365941,0.362709,1.361661,0.324117,1.075112,0.239713,1.387246,0.371421,1.488693,0.319782,1.068242,0.244606,1.673568,0.358454,1.425363,0.303307,0.676703,0.275710,1.595029,0.359865,1.643319,0.309536,0.856331,0.267009,1.655876,0.349210,1.824222,0.299018,1.078796,0.241240,2.556722,0.315255,1.592600,0.317964,0.779304,0.194280,1.430593,0.409073,1.465132,0.344069,0.774872,0.251930,1.044364,0.492343,1.319951,0.391795,0.565750,0.391236,0.940539,0.467094,0.801141,0.546002,0.576892,0.511762
8200,0.556935,0.344200,0.586084,0.335081,1.052956,0.170334,1.261381,0.340095,1.276295,0.327181,1.214071,0.208575,1.334200,0.346749,1.666632,0.288334,1.179308,0.222471,1.383531,0.359229,1.388426,0.319814,1.098065,0.237120,1.406178,0.367569,1.515772,0.315512,1.090810,0.241527,1.704038,0.354240,1.456131,0.299261,0.687463,0.272307,1.621501,0.356496,1.680334,0.303959,0.873444,0.263164,1.679707,0.345367,1.867675,0.292988,1.103737,0.238305,2.635603,0.309117,1.637378,0.312524,0.795616,0.191751,1.453967,0.405001,1.495817,0.339821,0.791109,0.248405,1.056772,0.488561,1.349953,0.387385,0.575057,0.385669,0.945841,0.465188,0.807685,0.546131,0.580692,0.512124
8400,0.558420,0.342264,0.592469,0.332117,1.079840,0.168348,1.274753,0.337246,1.296674,0.323076,1.242178,0.205944,1.350932,0.343904,1.699121,0.283942,1.207355,0.219909,1.399287,0.356028,1.409931,0.315344,1.117634,0.233824,1.421765,0.363593,1.548009,0.311592,1.112121,0.238888,1.734432,0.351065,1.485741,0.295864,0.698397,0.269157,1.643536,0.352594,1.719606,0.298849,0.890428,0.259907,1.701247,0.340714,1.914470,0.287906,1.127314,0.235871,2.710464,0.303922,1.681065,0.307893,0.811962,0.189877,1.477004,0.401647,1.529274,0.335628,0.807464,0.245134,1.071465,0.486753,1.379155,0.383757,0.584466,0.380008,0.952314,0.463030,0.814663,0.545885,0.584224,0.512391
8600,0.559936,0.340369,0.598192,0.329260,1.107233,0.166319,1.285270,0.333972,1.317807,0.318952,1.268905,0.203307,1.362073,0.340160,1.731783,0.279622,1.232520,0.217112,1.414104,0.352760,1.433191,0.311922,1.139568,0.231136,1.438401,0.360640,1.574219,0.307090,1.133582,0.235668,1.760527,0.346812,1.515235,0.292281,0.709042,0.265849,1.666803,0.349058,1.761245,0.294678,0.909098,0.256856,1.729834,0.337504,1.959426,0.283413,1.151514,0.233269,2.786867,0.298612,1.724908,0.303174,0.827033,0.187888,1.497012,0.397896,1.561973,0.330896,0.824102,0.241279,1.084653,0.483499,1.410281,0.379897,0.594840,0.375330,0.957949,0.460841,0.821807,0.545336,0.587940,0.512412
8800,0.561632,0.338515,0.605168,0.326598,1.133360,0.164543,1.300534,0.332176,1.335905,0.315320,1.295165,0.200912,1.375089,0.337143,1.766041,0.275040,1.259068,0.214554,1.430342,0.349894,1.455907,0.308274,1.160420,0.228565,1.456333,0.357521,1.601303,0.302914,1.155056,0.233302,1.787085,0.343673,1.546781,0.288782,0.720999,0.263079,1.688727,0.345536,1.800333,0.290710,0.926921,0.254015,1.754147,0.334386,2.005897,0.278843,1.175078,0.230455,2.862308,0.293436,1.768234,0.298686,0.842838,0.186067,1.518562,0.394641,1.594953,0.326886,0.842768,0.238273,1.098928,0.481619,1.441031,0.376205,0.604417,0.370166,0.963435,0.459185,0.827247,0.544434,0.591218,0.512306
9000,0.562106,0.336257,0.610395,0.323851,1.158751,0.162724,1.310371,0.329345,1.354882,0.311594,1.320534,0.198396,1.390838,0.335012,1.797269,0.271560,1.283763,0.212100,1.444034,0.347090,1.480916,0.304628,1.180264,0.226077,1.472055,0.354158,1.629786,0.299226,1.176835,0.230462,1.814859,0.340353,1.577708,0.284889,0.730873,0.260161,1.708625,0.341846,1.835989,0.286444,0.942121,0.250579,1.775154,0.330576,2.049483,0.274651,1.198245,0.228097,2.934315,0.288624,1.810049,0.294488,0.857254,0.184423,1.541556,0.391799,1.625003,0.323102,0.859072,0.234625,1.108921,0.478188,1.471550,0.373168,0.614966,0.365177,0.968318,0.457134,0.833498,0.543671,0.594678,0.512059
9200,0.563323,0.334379,0.616309,0.321469,1.182074,0.161126,1.319300,0.326612,1.371484,0.308245,1.345089,0.195770,1.401762,0.332104,1.830041,0.268328,1.308089,0.209676,1.457854,0.344580,1.501923,0.300990,1.199540,0.223469,1.487914,0.351424,1.656280,0.295548,1.198741,0.228042,1.839643,0.336789,1.606601,0.281592,0.741128,0.257494,1.731081,0.338757,1.871229,0.282693,0.958255,0.247414,1.798051,0.327301,2.087704,0.270735,1.220471,0.225796,3.003893,0.284207,1.849416,0.290595,0.870858,0.182823,1.564327,0.388717,1.654264,0.319168,0.874578,0.231375,1.120097,0.475057,1.498183,0.369220,0.625561,0.360145,0.972958,0.455146,0.838820,0.542511,0.597549,0.511630
9400,0.564437,0.332589,0.620512,0.318705,1.205453,0.159522,1.329024,0.324638,1.389758,0.305399,1.370115,0.193680,1.412407,0.329588,1.858913,0.264862,1.332184,0.207562,1.470672,0.341773,1.521838,0.297801,1.216895,0.220949,1.501226,0.348493,1.679940,0.292240,1.218036,0.225811,1.864387,0.333717,1.634013,0.278663,0.751299,0.255278,1.752050,0.335897,1.902498,0.278751,0.972919,0.244424,1.819937,0.323947,2.126110,0.266717,1.240718,0.223293,3.072228,0.279443,1.889467,0.286546,0.883390,0.181046,1.584787,0.385557,1.681461,0.315474,0.889418,0.228123,1.132858,0.473214,1.528277,0.365945,0.635671,0.355666,0.977124,0.453424,0.844237,0.541442,0.600719,0.511188
9600,0.566333,0.331361,0.624463,0.316039,1.228676,0.157593,1.338801,0.322869,1.404685,0.302308,1.393104,0.191550,1.423526,0.327253,1.887849,0.261486,1.355230,0.205473,1.482279,0.339369,1.541429,0.294777,1.235531,0.218773,1.516308,0.346018,1.701997,0.288971,1.234123,0.223404,1.891247,0.330724,1.656419,0.275278,0.758841,0.252609,1.772223,0.333313,1.937287,0.275747,0.987586,0.241692,1.841819,0.321337,2.161299,0.262669,1.259662,0.220993,3.136734,0.275430,1.929204,0.283137,0.898230,0.179535,1.601952,0.382450,1.711209,0.311664,0.905401,0.224949,1.142781,0.470294,1.554825,0.362286,0.646044,0.350588,0.981838,0.451974,0.849367,0.540303,0.604008,0.510668
9800,0.566598,0.329514,0.627904,0.313374,1.249041,0.155820,1.346167,0.320879,1.419848,0.299190,1.413723,0.189420,1.435536,0.325152,1.912725,0.258379,1.374792,0.202883,1.495970,0.337251,1.558555,0.291812,1.251077,0.216592,1.530511,0.343350,1.724002,0.285984,1.252366,0.221574,1.914966,0.328616,1.683136,0.272635,0.768695,0.250460,1.791258,0.330588,1.969022,0.272408,1.001831,0.239573,1.859960,0.318358,2.201051,0.259524,1.280650,0.219278,3.196745,0.271788,1.964926,0.279421,0.909545,0.177863,1.620391,0.380073,1.740434,0.308205,0.919783,0.221970,1.156764,0.468918,1.583350,0.359455,0.656929,0.346500,0.986062,0.450437,0.854308,0.539148,0.607164,0.510176
10000,0.566082,0.327387,0.631606,0.311190,1.270903,0.154539,1.354629,0.318896,1.435044,0.296523,1.434739,0.187528,1.444514,0.322826,1.937693,0.255275,1.393579,0.200862,1.508188,0.334794,1.576530,0.288943,1.266306,0.214312,1.543076,0.340541,1.745658,0.282551,1.267232,0.218972,1.936994,0.325998,1.704778,0.269922,0.777120,0.247883,1.808409,0.327935,1.996425,0.269310,1.014929,0.236992,1.881863,0.315908,2.234175,0.255793,1.296588,0.216661,3.258286,0.268003,2.000774,0.275858,0.921142,0.176410,1.636377,0.377056,1.768149,0.305102,0.933056,0.219266,1.166313,0.466369,1.609425,0.355833,0.666888,0.342097,0.989563,0.448777,0.858319,0.537577,0.610010,0.509448
10200,0.566858,0.326141,0.634907,0.308466,1.289260,0.152969,1.362562,0.317171,1.448042,0.293761,1.453222,0.185349,1.453508,0.320317,1.962775,0.252145,1.410698,0.198824,1.519382,0.332555,1.593860,0.286192,1.282174,0.212166,1.553638,0.337883,1.769069,0.279781,1.282906,0.217127,1.958820,0.323583,1.727438,0.267107,0.783542,0.245396,1.827352,0.325582,2.023559,0.266156,1.027654,0.234479,1.900130,0.313511,2.272561,0.253113,1.314481,0.215018,3.315968,0.264504,2.036124,0.272710,0.932652,0.175356,1.653672,0.374528,1.794140,0.301590,0.945889,0.216482,1.176185,0.463854,1.633598,0.352495,0.675762,0.337879,0.992679,0.447181,0.862341,0.536060,0.613335,0.508702
10400,0.566435,0.324197,0.638577,0.306189,1.308992,0.151584,1.369177,0.315177,1.461976,0.291399,1.474391,0.183911,1.464441,0.318777,1.987716,0.249447,1.429219,0.197041,1.530227,0.330589,1.612121,0.283921,1.296263,0.210157,1.564758,0.335889,1.789156,0.277088,1.296649,0.214998,1.979907,0.321146,1.751642,0.264988,0.791411,0.243531,1.842576,0.323098,2.051617,0.263167,1.038718,0.231977,1.917415,0.311173,2.306121,0.250514,1.331550,0.213276,3.367834,0.261307,2.070257,0.269719,0.942627,0.174221,1.669022,0.371962,1.818398,0.298765,0.959090,0.214407,1.184713,0.460742,1.659468,0.349767,0.685688,0.334489,0.995944,0.445751,0.865072,0.533930,0.615331,0.507180
10600,0.567801,0.322996,0.641655,0.303882,1.327524,0.150469,1.376549,0.313403,1.473826,0.289068,1.494267,0.182291,1.472094,0.316684,2.015596,0.247183,1.450209,0.195405,1.540951,0.328947,1.627553,0.281592,1.308777,0.208328,1.572823,0.333362,1.809367,0.274254,1.310858,0.213007,1.998865,0.318734,1.774613,0.262743,0.798434,0.241379,1.857437,0.320521,2.078374,0.260263,1.049295,0.229753,1.935766,0.308969,2.335632,0.247795,1.346693,0.211743,3.417228,0.258487,2.102725,0.266765,0.952532,0.173021,1.684577,0.369898,1.845020,0.295980,0.972538,0.212268,1.192070,0.458207,1.681938,0.346484,0.695114,0.331096,0.998509,0.444228,0.868131,0.532309,0.617678,0.505893
10800,0.569119,0.322100,0.644762,0.301736,1.343566,0.149140,1.383831,0.311928,1.484895,0.286901,1.509267,0.180254,1.480243,0.314974,2.035463,0.244825,1.466961,0.193439,1.549839,0.326825,1.644544,0.279195,1.322084,0.206367,1.584458,0.331928,1.830631,0.272041,1.325373,0.211449,2.018246,0.316851,1.795245,0.260283,0.804778,0.239416,1.872378,0.318444,2.107375,0.258261,1.061337,0.227975,1.952184,0.306874,2.366226,0.245281,1.360909,0.210065,3.467344,0.255637,2.131982,0.263775,0.960192,0.171684,1.700145,0.367857,1.866034,0.292866,0.983263,0.210012,1.201076,0.456459,1.703082,0.343935,0.704213,0.327895,1.001923,0.443011,0.871682,0.530745,0.620613,0.504962
11000,0.568306,0.320351,0.647822,0.299670,1.359602,0.147814,1.391732,0.310712,1.495715,0.284852,1.526728,0.178703,1.489077,0.313339,2.057377,0.242529,1.483089,0.191700,1.560719,0.325335,1.658419,0.276838,1.333004,0.204587,1.594787,0.330081,1.847683,0.269692,1.337319,0.209610,2.035985,0.314618,1.815461,0.258202,0.810577,0.237389,1.885032,0.316643,2.130614,0.255659,1.071616,0.225918,1.967095,0.305037,2.392210,0.242454,1.374903,0.208473,3.516228,0.252988,2.159694,0.261159,0.968532,0.170625,1.713235,0.365520,1.887306,0.290357,0.994409,0.208011,1.210485,0.454811,1.727074,0.341917,0.713111,0.325001,1.004752,0.441663,0.874849,0.529221,0.623031,0.503920
11200,0.568131,0.318827,0.650299,0.297553,1.373832,0.146476,1.397037,0.309275,1.506107,0.282792,1.541863,0.177126,1.496742,0.311707,2.075325,0.240359,1.499067,0.190054,1.569421,0.323532,1.671503,0.274655,1.343233,0.202691,1.605377,0.328530,1.863206,0.267415,1.348544,0.207941,2.053640,0.312799,1.835794,0.256399,0.816374,0.235538,1.899067,0.315104,2.157430,0.253445,1.081619,0.224098,1.979581,0.302974,2.420855,0.240194,1.386975,0.206909,3.559679,0.250575,2.189226,0.258742,0.976947,0.169626,1.726347,0.363494,1.908570,0.287930,1.005033,0.206076,1.216622,0.452657,1.746660,0.339086,0.720712,0.322123,1.007220,0.440266,0.877794,0.527621,0.625263,0.502823
11400,0.567950,0.317434,0.652170,0.295652,1.387468,0.145208,1.402625,0.307863,1.516224,0.280921,1.557201,0.175655,1.503359,0.310022,2.094025,0.238251,1.513244,0.188349,1.577820,0.321834,1.685252,0.272581,1.354010,0.200892,1.612243,0.326507,1.879432,0.265479,1.359569,0.206440,2.071041,0.311179,1.853479,0.254404,0.821930,0.233733,1.910535,0.313099,2.180827,0.250985,1.091157,0.222141,1.992848,0.301239,2.446367,0.238227,1.400264,0.205563,3.602070,0.248261,2.214486,0.256440,0.983851,0.168487,1.740729,0.361690,1.927662,0.285514,1.014850,0.204344,1.223350,0.451071,1.766280,0.336794,0.729339,0.319661,1.009991,0.439103,0.880723,0.525951,0.627747,0.501593
11600,0.567129,0.315784,0.654432,0.293767,1.399757,0.144015,1.407721,0.306510,1.526468,0.279024,1.569962,0.174415,1.508201,0.308434,2.112319,0.236043,1.527645,0.186887,1.585686,0.320430,1.696897,0.270615,1.364514,0.199485,1.620662,0.324970,1.894531,0.263753,1.371844,0.205057,2.086658,0.309119,1.868863,0.252704,0.827181,0.232146,1.921237,0.311037,2.200179,0.248935,1.099056,0.220514,2.004591,0.299357,2.469789,0.236216,1.411445,0.204099,3.640646,0.246048,2.240302,0.254300,0.990894,0.167601,1.752299,0.359440,1.947699,0.283346,1.024945,0.202815,1.230682,0.449510,1.786009,0.334287,0.736666,0.317101,1.012346,0.437868,0.883381,0.524305,0.629738,0.500251
11800,0.567321,0.314581,0.655134,0.291619,1.413692,0.143165,1.411880,0.305305,1.534363,0.277204,1.582361,0.172987,1.514864,0.307132,2.130182,0.234416,1.540805,0.185513,1.594041,0.319061,1.708292,0.268737,1.373777,0.198005,1.627803,0.323481,1.908967,0.261886,1.381601,0.203594,2.102809,0.307550,1.884090,0.250920,0.831840,0.230515,1.933524,0.309480,2.221436,0.247209,1.107180,0.219020,2.015191,0.297684,2.492474,0.234388,1.422512,0.202633,3.679146,0.244009,2.264071,0.252152,0.997250,0.166630,1.764273,0.357983,1.966084,0.281553,1.034132,0.201329,1.236212,0.447780,1.802408,0.332039,0.743813,0.314856,1.014213,0.436664,0.885699,0.522792,0.631663,0.499062
12000,0.567320,0.313338,0.656573,0.289928,1.425271,0.142006,1.415675,0.304246,1.542886,0.275516,1.595150,0.171764,1.522507,0.306216,2.143620,0.232641,1.552786,0.184170,1.600567,0.317682,1.718912,0.267058,1.382226,0.196467,1.634239,0.321968,1.922264,0.260174,1.389897,0.202227,2.114718,0.305985,1.900776,0.249592,0.837355,0.229207,1.944689,0.308032,2.239531,0.245485,1.114966,0.217389,2.026553,0.296238,2.512086,0.232525,1.433187,0.201323,3.714491,0.241907,2.288217,0.250269,1.003693,0.165786,1.775881,0.356145,1.982561,0.279650,1.043224,0.200059,1.241739,0.446146,1.819445,0.329902,0.750848,0.312510,1.015957,0.435465,0.888589,0.521293,0.634092,0.497743
12200,0.567059,0.312093,0.657523,0.288293,1.436318,0.141189,1.419738,0.303266,1.550995,0.273873,1.605110,0.170591,1.525860,0.304577,2.156293,0.230882,1.563094,0.182867,1.606294,0.316352,1.730859,0.265354,1.389979,0.195111,1.640868,0.320644,1.934598,0.258487,1.397638,0.200991,2.128738,0.304500,1.915524,0.248047,0.841627,0.227887,1.955013,0.306759,2.256822,0.243776,1.122011,0.215716,2.038429,0.294958,2.532755,0.230785,1.441246,0.199896,3.750000,0.240120,2.310468,0.248550,1.009528,0.164861,1.787461,0.355064,1.997148,0.277667,1.051157,0.198710,1.246917,0.444759,1.833717,0.328121,0.757027,0.310548,1.018001,0.434497,0.890801,0.519993,0.635952,0.496625
12400,0.566282,0.310622,0.658910,0.286871,1.446475,0.140348,1.422253,0.302161,1.558585,0.272346,1.614767,0.169463,1.530010,0.303148,2.170231,0.229396,1.573481,0.181599,1.612822,0.315132,1.741581,0.263727,1.395751,0.193742,1.647448,0.319441,1.945162,0.256631,1.404056,0.199491,2.139469,0.302991,1.928799,0.246641,0.845255,0.226524,1.963952,0.305333,2.273294,0.241961,1.128641,0.214291,2.046457,0.293440,2.550494,0.229217,1.449885,0.198606,3.781412,0.238426,2.331819,0.246922,1.015683,0.164154,1.796208,0.353451,2.013865,0.275943,1.057968,0.197250,1.251355,0.443050,1.847908,0.326405,0.762865,0.308583,1.019861,0.433512,0.892416,0.518496,0.637419,0.495244
12600,0.565686,0.309498,0.659404,0.285321,1.455129,0.139552,1.425996,0.301313,1.566826,0.271158,1.626215,0.168432,1.534062,0.301916,2.183759,0.228002,1.583874,0.180581,1.616085,0.313523,1.751966,0.262235,1.403654,0.192516,1.652813,0.318377,1.956134,0.255095,1.410868,0.198114,2.150583,0.301859,1.942241,0.245341,0.848698,0.225264,1.972445,0.303853,2.291672,0.240459,1.135534,0.212948,2.055437,0.292049,2.570685,0.227752,1.458619,0.197517,3.811998,0.236639,2.351701,0.245065,1.020343,0.163291,1.807117,0.352260,2.026655,0.274157,1.063490,0.195869,1.255049,0.441253,1.860090,0.324403,0.768249,0.306849,1.021440,0.432455,0.893762,0.516725,0.638701,0.493666
12800,0.564394,0.308017,0.659661,0.283693,1.463672,0.138761,1.427941,0.300231,1.573371,0.269856,1.635765,0.167493,1.538218,0.300918,2.195232,0.226588,1.591729,0.179482,1.622060,0.312478,1.760435,0.260928,1.409008,0.191231,1.657975,0.317284,1.966416,0.253561,1.417771,0.196886,2.160766,0.300597,1.955143,0.244037,0.852572,0.224160,1.979360,0.302486,2.304930,0.239024,1.141253,0.211440,2.064230,0.290784,2.586320,0.226307,1.465888,0.196434,3.839694,0.235102,2.371327,0.243706,1.026451,0.162655,1.814637,0.350840,2.040712,0.272372,1.069620,0.194598,1.260338,0.440492,1.873988,0.322895,0.773471,0.305301,1.022916,0.431540,0.895396,0.515184,0.640251,0.492139
13000,0.563724,0.306991,0.660119,0.282445,1.472001,0.138110,1.430517,0.299209,1.578702,0.268325,1.641450,0.166444,1.542133,0.299893,2.206059,0.225193,1.598571,0.178375,1.627329,0.311570,1.769374,0.259746,1.415377,0.190277,1.663529,0.316302,1.977619,0.252387,1.424008,0.195756,2.170476,0.299331,1.966261,0.242977,0.855607,0.223027,1.986394,0.301261,2.316788,0.237640,1.146814,0.210236,2.071801,0.289580,2.602099,0.224990,1.473411,0.195379,3.865929,0.233826,2.389003,0.242306,1.031085,0.161943,1.822816,0.349633,2.054677,0.271007,1.075909,0.193638,1.263232,0.438908,1.885696,0.321273,0.778492,0.303994,1.024241,0.430569,0.896781,0.513536,0.641742,0.490702
13200,0.563108,0.305931,0.660602,0.281097,1.479393,0.137519,1.433011,0.298402,1.584828,0.267225,1.648873,0.165598,1.545815,0.298863,2.216492,0.224037,1.606722,0.177487,1.632142,0.310681,1.777568,0.258592,1.420322,0.189234,1.666860,0.315013,1.986715,0.251041,1.430321,0.194708,2.180340,0.298304,1.977917,0.241996,0.859319,0.222125,1.995263,0.300573,2.331197,0.236531,1.152565,0.209068,2.079914,0.288562,2.617312,0.223796,1.479687,0.194523,3.891014,0.232572,2.404791,0.240910,1.035034,0.161239,1.830349,0.348445,2.066188,0.269657,1.081934,0.192534,1.266826,0.437723,1.896017,0.319534,0.782865,0.302431,1.025754,0.429734,0.897965,0.512105,0.642921,0.489162
13400,0.562137,0.304909,0.660929,0.279939,1.485593,0.136817,1.435357,0.297591,1.588689,0.265920,1.655520,0.164693,1.548684,0.297870,2.226830,0.222929,1.613416,0.176589,1.635328,0.309609,1.784504,0.257405,1.426143,0.188228,1.670863,0.313967,1.995868,0.249916,1.436144,0.193739,2.188886,0.297068,1.987524,0.240878,0.861663,0.221026,2.002296,0.299702,2.343408,0.235127,1.156642,0.207769,2.087067,0.287633,2.631287,0.222639,1.486773,0.193649,3.914739,0.231393,2.418837,0.239497,1.039006,0.160531,1.837037,0.347344,2.077425,0.268482,1.087149,0.191580,1.269474,0.436505,1.906730,0.317915,0.787031,0.300998,1.027022,0.429103,0.899219,0.510839,0.644099,0.487896
