step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
40000,3.478911,1.139221,19.655403,19.590021,19.598091,19.583681,19.508377,18.713461,1.002399,0.998486,0.999214,0.998335,0.994424,0.952971,10.311565,14.924811,16.673893,23.775827,21.971226,25.265045
40500,3.460563,1.137732,19.655540,19.589676,19.598055,19.583618,19.508425,18.711063,1.002405,0.998463,0.999215,0.998335,0.994424,0.952840,10.323751,14.929261,16.681934,23.793406,21.986389,25.291494
41000,3.465958,1.137452,19.655525,19.589802,19.597935,19.583536,19.508022,18.709629,1.002403,0.998467,0.999206,0.998328,0.994399,0.952764,10.333784,14.934769,16.689409,23.811060,22.001734,25.315584
41500,3.483597,1.136302,19.655474,19.589600,19.597694,19.583574,19.508009,18.708139,1.002403,0.998454,0.999194,0.998327,0.994396,0.952683,10.343490,14.939244,16.696148,23.827797,22.017778,25.337410
42000,3.453545,1.136511,19.655647,19.589890,19.597895,19.583517,19.507668,18.706423,1.002412,0.998469,0.999204,0.998323,0.994377,0.952592,10.354419,14.943617,16.703560,23.845335,22.033976,25.357618
42500,3.451253,1.135559,19.655790,19.589813,19.598127,19.583473,19.507690,18.705393,1.002418,0.998464,0.999212,0.998321,0.994379,0.952536,10.364506,14.947618,16.710484,23.861565,22.047564,25.377449
43000,3.468672,1.135099,19.655794,19.589695,19.598427,19.583269,19.507479,18.704407,1.002417,0.998456,0.999227,0.998311,0.994367,0.952480,10.372914,14.953506,16.717484,23.877720,22.059570,25.397047
43500,3.447073,1.135814,19.655872,19.589685,19.598711,19.583178,19.507080,18.703234,1.002418,0.998456,0.999245,0.998305,0.994341,0.952416,10.383004,14.956967,16.724588,23.891310,22.073975,25.416405
44000,3.439801,1.134993,19.656088,19.589527,19.598385,19.583256,19.506731,18.702204,1.002426,0.998448,0.999226,0.998305,0.994320,0.952360,10.393216,14.960821,16.730768,23.905838,22.086451,25.434341
44500,3.450583,1.134987,19.656199,19.589354,19.598303,19.583199,19.506554,18.700994,1.002433,0.998438,0.999221,0.998298,0.994310,0.952295,10.402275,14.966242,16.737469,23.921072,22.098562,25.451313
45000,3.433155,1.134989,19.656288,19.589762,19.598278,19.583099,19.506634,18.699934,1.002439,0.998459,0.999217,0.998293,0.994315,0.952238,10.414895,14.970518,16.742905,23.933607,22.111208,25.469151
45500,3.428542,1.134986,19.656353,19.589413,19.598274,19.583122,19.506491,18.698690,1.002442,0.998439,0.999218,0.998295,0.994305,0.952171,10.424264,14.975651,16.748718,23.945551,22.122541,25.486780
46000,3.444500,1.134395,19.656418,19.589346,19.598392,19.583014,19.506317,18.697596,1.002445,0.998433,0.999224,0.998289,0.994296,0.952113,10.432905,14.979760,16.754448,23.958170,22.133190,25.502922
46500,3.431340,1.134465,19.656384,19.589106,19.598232,19.582872,19.506294,18.697424,1.002444,0.998419,0.999216,0.998279,0.994294,0.952105,10.441256,14.984829,16.761021,23.971121,22.144279,25.518679
47000,3.438120,1.134237,19.656427,19.589157,19.598457,19.582682,19.506020,18.696175,1.002448,0.998422,0.999226,0.998269,0.994277,0.952034,10.446812,14.988194,16.767288,23.984261,22.157309,25.534697
47500,3.432682,1.134653,19.656626,19.589277,19.598543,19.582767,19.506186,18.695166,1.002458,0.998425,0.999231,0.998272,0.994284,0.951981,10.456921,14.992520,16.772938,23.997007,22.168756,25.549286
48000,3.429964,1.134538,19.656570,19.589327,19.598764,19.582636,19.506210,18.694889,1.002453,0.998428,0.999241,0.998267,0.994287,0.951965,10.464536,14.997804,16.779095,24.009718,22.178921,25.564863
