gen,trial_id,nap,tph_qkv,tph_op,n_params,val_loss,origin
29,350,6,33,33,489536,2.236007,random
29,351,6,33,33,489536,2.233498,random
30,352,4,134,134,496704,2.145987,mutate
30,353,4,134,134,496704,2.169013,mutate
30,354,4,134,134,496704,2.121062,mutate
30,355,4,134,134,496704,2.155806,mutate
30,356,4,134,134,496704,2.184979,crossover
30,357,4,134,134,496704,2.139608,crossover
30,358,4,134,134,496704,2.199299,crossover
30,359,4,134,134,496704,2.180911,crossover
30,360,5,67,67,496704,2.225628,random
30,361,4,134,134,496704,2.224733,random
30,362,4,134,134,496704,2.190483,random
30,363,4,134,134,496704,2.148628,random
31,364,4,134,134,496704,2.182564,mutate
31,365,4,134,134,496704,2.199648,mutate
31,366,4,134,134,496704,2.210813,mutate
31,367,4,134,134,496704,2.174382,mutate
31,368,4,134,134,496704,2.179867,crossover
31,369,4,134,134,496704,2.205316,crossover
31,370,4,134,134,496704,2.181434,crossover
31,371,4,134,134,496704,2.162328,crossover
31,372,6,33,33,489536,2.208685,random
31,373,4,134,134,496704,2.162370,random
31,374,5,67,67,496704,2.214283,random
31,375,6,33,33,489536,2.220655,random
32,376,4,134,134,496704,2.157928,mutate
32,377,4,134,134,496704,2.185479,mutate
32,378,4,134,134,496704,2.165740,mutate
32,379,4,134,134,496704,2.204035,mutate
32,380,4,134,134,496704,2.165014,crossover
32,381,4,134,134,496704,2.197745,crossover
32,382,4,134,134,496704,2.188677,crossover
32,383,4,134,134,496704,2.163028,crossover
32,384,4,134,134,496704,2.191883,random
32,385,4,134,134,496704,2.201882,random
32,386,6,33,33,489536,2.249263,random
32,387,6,33,33,489536,2.232256,random
33,388,4,134,134,496704,2.163876,mutate
33,389,4,134,134,496704,2.169434,mutate
33,390,4,134,134,496704,2.196697,mutate
33,391,4,134,134,496704,2.190978,mutate
33,392,4,134,134,496704,2.162119,crossover
33,393,4,134,134,496704,2.194905,crossover
33,394,4,134,134,496704,2.165825,crossover
33,395,4,134,134,496704,2.203167,crossover
33,396,5,67,67,496704,2.202116,random
33,397,4,134,134,496704,2.199936,random
33,398,4,134,134,496704,2.166617,random
33,399,4,134,134,496704,2.227044,random
34,400,4,134,134,496704,2.172182,mutate
34,401,4,134,134,496704,2.184426,mutate
34,402,4,134,134,496704,2.195506,mutate
34,403,4,134,134,496704,2.187928,mutate
34,404,4,134,134,496704,2.150270,crossover
34,405,4,134,134,496704,2.162674,crossover
34,406,4,134,134,496704,2.205403,crossover
34,407,4,134,134,496704,2.135626,crossover
34,408,4,134,134,496704,2.168470,random
34,409,4,134,134,496704,2.177103,random
34,410,4,134,134,496704,2.181932,random
34,411,4,134,134,496704,2.186700,random
35,412,4,134,134,496704,2.148067,mutate
35,413,4,134,134,496704,2.180503,mutate
35,414,4,134,134,496704,2.178358,mutate
35,415,4,134,134,496704,2.179785,mutate
35,416,4,134,134,496704,2.169743,crossover
35,417,4,134,134,496704,2.194876,crossover
35,418,4,134,134,496704,2.156235,crossover
35,419,4,134,134,496704,2.164630,crossover
35,420,4,134,134,496704,2.145937,random
35,421,4,134,134,496704,2.186978,random
35,422,4,134,134,496704,2.174318,random
35,423,5,67,67,496704,2.180427,random
36,424,4,134,134,496704,2.174047,mutate
36,425,4,134,134,496704,2.189686,mutate
36,426,4,134,134,496704,2.161699,mutate
36,427,4,134,134,496704,2.192149,mutate
36,428,4,134,134,496704,2.179329,crossover
36,429,4,134,134,496704,2.201499,crossover
36,430,4,134,134,496704,2.181702,crossover
