step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
30500,3.745986,1.182595,11.942571,16.990490,16.318336,15.617494,14.798529,14.079391,0.607105,0.866058,0.831495,0.795898,0.753869,0.712326,12.636163,21.545708,18.447256,19.087599,20.328468,27.059755,1.21674947e-01,6.40494674e-02,1.32284731e-01,1.33184731e-01,1.32039547e-01,1.28088310e-01,1.40402898e-01
31000,3.732419,1.181587,11.906011,16.986107,16.303989,15.593017,14.763973,14.034411,0.605199,0.865837,0.830757,0.794648,0.752087,0.709964,12.653665,21.578304,18.467772,19.109787,20.355333,27.115898,1.22209077e-01,6.41676784e-02,1.33014277e-01,1.33841395e-01,1.32639885e-01,1.28623828e-01,1.40967399e-01
31500,3.732562,1.180149,11.873841,16.981590,16.290131,15.569623,14.732530,13.991762,0.603536,0.865601,0.830036,0.793453,0.750471,0.707727,12.671734,21.607889,18.491323,19.131693,20.383596,27.165668,1.22704659e-01,6.42695650e-02,1.33686990e-01,1.34454459e-01,1.33190930e-01,1.29124746e-01,1.41501263e-01
32000,3.730163,1.179793,11.845972,16.980162,16.277212,15.548536,14.701833,13.950695,0.602091,0.865525,0.829370,0.792369,0.748890,0.705567,12.692917,21.637018,18.513409,19.151306,20.411558,27.214537,1.23168187e-01,6.43716380e-02,1.34334415e-01,1.35022491e-01,1.33717522e-01,1.29583389e-01,1.41979665e-01
32500,3.720673,1.180060,11.818607,16.978956,16.266624,15.528869,14.673837,13.912124,0.600675,0.865453,0.828827,0.791359,0.747442,0.703534,12.715433,21.667343,18.536144,19.170778,20.438066,27.263836,1.23597519e-01,6.44688085e-02,1.34931937e-01,1.35561883e-01,1.34200335e-01,1.30013078e-01,1.42409071e-01
33000,3.706475,1.178747,11.790692,16.977463,16.255997,15.509452,14.647160,13.873911,0.599225,0.865365,0.828273,0.790365,0.746072,0.701538,12.733390,21.696621,18.559818,19.189211,20.461935,27.311546,1.23986269e-01,6.45556301e-02,1.35478824e-01,1.36033565e-01,1.34645492e-01,1.30407393e-01,1.42796710e-01
33500,3.697425,1.177601,11.766799,16.977037,16.247440,15.491628,14.622331,13.840235,0.597982,0.865340,0.827834,0.789446,0.744799,0.699782,12.752324,21.722116,18.580488,19.210480,20.489100,27.356512,1.24347242e-01,6.46385700e-02,1.35990471e-01,1.36485502e-01,1.35053441e-01,1.30765826e-01,1.43149644e-01
34000,3.697737,1.177068,11.749623,16.976225,16.238152,15.475198,14.599206,13.807697,0.597092,0.865289,0.827352,0.788606,0.743613,0.698074,12.775426,21.747845,18.603067,19.229097,20.516554,27.398247,1.24677149e-01,6.47156537e-02,1.36473298e-01,1.36893719e-01,1.35420471e-01,1.31082624e-01,1.43477127e-01
34500,3.691326,1.175944,11.732881,16.977383,16.230396,15.460519,14.576519,13.774608,0.596223,0.865347,0.826943,0.787841,0.742444,0.696341,12.796064,21.773909,18.622032,19.246332,20.539660,27.439379,1.24978198e-01,6.47876039e-02,1.36924505e-01,1.37280136e-01,1.35763720e-01,1.31373510e-01,1.43739715e-01
35000,3.699233,1.175419,11.716979,16.978214,16.224308,15.445772,14.556181,13.745155,0.595403,0.865391,0.826620,0.787090,0.741409,0.694799,12.815867,21.797199,18.641479,19.264748,20.563997,27.478968,1.25248844e-01,6.48473054e-02,1.37324154e-01,1.37628436e-01,1.36068463e-01,1.31634846e-01,1.43989861e-01
