step,mse,ema,lr,elapsed_s
8850,0.01830267,0.01825487,4.073184e-05,689.1
8875,0.01815626,0.01825935,4.027626e-05,691.0
8900,0.01815169,0.01825963,3.983018e-05,692.9
8925,0.01824240,0.01826404,3.939363e-05,694.8
8950,0.01804128,0.01826031,3.896664e-05,696.8
8975,0.01833544,0.01827810,3.854925e-05,698.7
9000,0.01840004,0.01827671,3.814150e-05,700.6
9025,0.01824421,0.01827297,3.774340e-05,702.5
9050,0.01833501,0.01827296,3.735499e-05,704.4
9075,0.01835686,0.01827228,3.697631e-05,706.3
9100,0.01836768,0.01826608,3.660737e-05,708.2
9125,0.01819378,0.01825633,3.624821e-05,710.2
9150,0.01815290,0.01825177,3.589886e-05,712.1
9175,0.01832099,0.01826464,3.555934e-05,714.0
9200,0.01813305,0.01826109,3.522967e-05,716.0
9225,0.01840389,0.01824896,3.490989e-05,717.9
9250,0.01816987,0.01826551,3.460001e-05,719.8
9275,0.01823245,0.01828393,3.430007e-05,721.8
9300,0.01829078,0.01828409,3.401008e-05,723.7
9325,0.01832196,0.01827903,3.373006e-05,725.6
9350,0.01833705,0.01826888,3.346004e-05,727.5
9375,0.01824585,0.01826898,3.320004e-05,729.4
9400,0.01834572,0.01826628,3.295007e-05,731.3
9425,0.01812326,0.01825358,3.271016e-05,733.2
9450,0.01811733,0.01824328,3.248033e-05,735.1
9475,0.01813501,0.01825982,3.226059e-05,737.1
9500,0.01836166,0.01827807,3.205095e-05,739.0
9525,0.01808590,0.01828828,3.185144e-05,740.9
9550,0.01813531,0.01827402,3.166207e-05,742.8
9575,0.01836362,0.01826730,3.148286e-05,744.7
9600,0.01825961,0.01827837,3.131381e-05,746.7
9625,0.01823044,0.01826123,3.115494e-05,748.6
9650,0.01818010,0.01824775,3.100627e-05,750.5
9675,0.01815432,0.01825198,3.086780e-05,752.4
9700,0.01816426,0.01826058,3.073954e-05,754.3
9725,0.01824023,0.01826435,3.062151e-05,756.2
9750,0.01818944,0.01825630,3.051372e-05,758.2
9775,0.01818726,0.01826170,3.041616e-05,760.1
9800,0.01830580,0.01826890,3.032885e-05,762.0
9825,0.01840308,0.01827806,3.025180e-05,763.9
9850,0.01834670,0.01828823,3.018501e-05,765.8
9875,0.01826397,0.01827652,3.012849e-05,767.7
9900,0.01813014,0.01825734,3.008224e-05,769.6
9925,0.01810117,0.01825981,3.004626e-05,771.5
9950,0.01821972,0.01827429,3.002056e-05,773.4
9975,0.01827377,0.01826885,3.000514e-05,775.3
9999,0.01817313,0.01827122,3.000001e-05,777.2
