step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,tau_L0,tau_L1,tau_L2,tau_L3,tau_L4,tau_L5
25500,3.567312,1.153626,12.940487,16.502090,17.133305,17.363159,17.941818,19.675842,0.659810,0.841183,0.873363,0.885293,0.914831,1.002870,9.311518,18.204033,14.694156,18.374249,18.964573,25.953629,0.14612006,0.31031144,0.32681504,0.36470607,0.44815704,0.67439407
26000,3.581340,1.152554,12.904781,16.487747,17.118814,17.349371,17.930738,19.678215,0.657968,0.840440,0.872613,0.884576,0.914254,1.002974,9.280895,18.201143,14.675709,18.385248,18.978930,26.015718,0.14410970,0.30595067,0.32395670,0.36017933,0.44396004,0.66959536
26500,3.549041,1.151851,12.872817,16.468788,17.107027,17.341162,17.918175,19.679647,0.656331,0.839468,0.871994,0.884149,0.913617,1.003027,9.248287,18.201714,14.654901,18.397409,18.992924,26.078890,0.14176299,0.30163082,0.32086471,0.35481676,0.43804988,0.66160792
27000,3.541173,1.151804,12.848735,16.452305,17.094046,17.331476,17.914040,19.683617,0.655087,0.838618,0.871323,0.883646,0.913389,1.003223,9.219041,18.199865,14.637035,18.412663,19.005884,26.137329,0.13915993,0.29967070,0.31866658,0.35092410,0.43159458,0.65616190
27500,3.551980,1.150179,12.825894,16.438679,17.089565,17.319170,17.907303,19.683434,0.653925,0.837907,0.871081,0.883011,0.913035,1.003191,9.190467,18.198502,14.625087,18.427843,19.025179,26.196457,0.13682917,0.29769900,0.31549621,0.34729818,0.42791840,0.65079445
28000,3.530594,1.149988,12.803571,16.422649,17.081413,17.312904,17.904179,19.690334,0.652780,0.837079,0.870647,0.882686,0.912869,1.003526,9.167467,18.199486,14.614038,18.441284,19.042629,26.253313,0.13588212,0.29503447,0.31315893,0.34486464,0.42332327,0.64575577
28500,3.516827,1.149632,12.781454,16.415276,17.077135,17.309475,17.903034,19.692507,0.651651,0.836699,0.870420,0.882501,0.912805,1.003616,9.148020,18.197279,14.602920,18.456736,19.057568,26.308958,0.13429289,0.29176372,0.30927154,0.34099841,0.42226055,0.64091241
29000,3.520594,1.149592,12.768041,16.405151,17.072287,17.306152,17.899618,19.699446,0.650969,0.836164,0.870170,0.882325,0.912622,1.003959,9.130933,18.201344,14.590541,18.470049,19.073557,26.363991,0.13212147,0.28923079,0.30664620,0.33731070,0.41778150,0.63580936
29500,3.504970,1.148457,12.755237,16.398319,17.073006,17.303505,17.897675,19.702724,0.650301,0.835814,0.870195,0.882181,0.912513,1.004109,9.117658,18.201267,14.580672,18.488138,19.092453,26.415968,0.13032518,0.28694484,0.30335569,0.33450231,0.41491017,0.62995344
30000,3.491308,1.148293,12.743465,16.389360,17.070940,17.300522,17.901413,19.706902,0.649702,0.835348,0.870084,0.882026,0.912697,1.004314,9.097323,18.204176,14.572201,18.506493,19.105585,26.469967,0.12862140,0.28521746,0.30001786,0.33146322,0.41001117,0.62520182
30500,3.497006,1.146175,12.735563,16.382896,17.068430,17.299623,17.903984,19.714361,0.649301,0.835014,0.869948,0.881977,0.912820,1.004683,9.087826,18.206192,14.567567,18.522217,19.123652,26.518122,0.12626745,0.28228399,0.29761779,0.32820302,0.40779042,0.61978054
