step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
6000,0.554258,0.579014,0.399939,0.336529,0.740468,0.406506,0.565500,0.334529,0.844922,0.587760,0.680603,0.410178,0.851275,0.476015,0.698191,0.380684,0.854614,0.480963,0.596693,0.372715,0.700050,0.405774,0.712438,0.378261,0.801397,0.483072,0.493013,0.351736,0.614220,0.426892,0.676901,0.377072,0.726728,0.515218,0.455980,0.348276,0.577960,0.413628,0.664663,0.371281,0.723936,0.491448,0.410239,0.402474,0.568782,0.487911,0.637723,0.414457
6200,0.553576,0.578266,0.398745,0.335250,0.740752,0.404188,0.563320,0.331608,0.844488,0.585025,0.683467,0.409781,0.856322,0.474854,0.700292,0.379392,0.855922,0.478324,0.599940,0.372525,0.704555,0.405015,0.714877,0.376771,0.802589,0.480841,0.495960,0.351941,0.616017,0.425116,0.679306,0.375345,0.726550,0.512916,0.458417,0.348283,0.578878,0.411860,0.666853,0.369450,0.726793,0.490308,0.410220,0.401997,0.569014,0.486797,0.639308,0.412383
6400,0.552657,0.577469,0.398083,0.334403,0.741290,0.402357,0.561546,0.329189,0.843453,0.582439,0.685577,0.409145,0.860324,0.473519,0.702084,0.378377,0.857248,0.475726,0.602834,0.372205,0.707768,0.403791,0.717958,0.375760,0.802890,0.478331,0.498374,0.351970,0.617595,0.423466,0.681153,0.373463,0.727210,0.511407,0.460701,0.348513,0.580458,0.410608,0.669122,0.367933,0.727786,0.488674,0.409743,0.401270,0.569099,0.485901,0.640391,0.410795
6600,0.552143,0.577102,0.397282,0.333488,0.741218,0.400591,0.559290,0.326838,0.843693,0.580958,0.687590,0.408686,0.863787,0.472332,0.702807,0.377082,0.858688,0.473612,0.605259,0.371897,0.710758,0.402628,0.719658,0.374318,0.803771,0.476439,0.500907,0.352162,0.619630,0.422241,0.683342,0.372265,0.727057,0.509383,0.462979,0.348643,0.581421,0.409162,0.670926,0.366402,0.729085,0.487198,0.409393,0.400715,0.569061,0.484871,0.641399,0.409162
6800,0.551216,0.576219,0.396293,0.332575,0.741019,0.399095,0.557016,0.324754,0.842949,0.578910,0.688943,0.407865,0.866111,0.470913,0.703905,0.376108,0.860023,0.471752,0.607186,0.371655,0.712878,0.401479,0.721598,0.373290,0.804488,0.474689,0.503159,0.352334,0.620806,0.420844,0.685371,0.371172,0.727089,0.507795,0.464866,0.348873,0.582325,0.408106,0.672932,0.365106,0.730134,0.485916,0.409247,0.400314,0.569055,0.483993,0.641967,0.407533
7000,0.550469,0.575562,0.395540,0.331829,0.740193,0.397462,0.555242,0.322928,0.842145,0.577123,0.690544,0.407676,0.869404,0.470339,0.705335,0.375316,0.861289,0.470034,0.609266,0.371480,0.715086,0.400521,0.723011,0.372171,0.804685,0.472967,0.504906,0.352403,0.621809,0.419603,0.686830,0.370011,0.727411,0.506611,0.466607,0.349007,0.583042,0.406966,0.674097,0.363851,0.730821,0.484788,0.409111,0.399936,0.569034,0.483131,0.642728,0.406079
7200,0.550068,0.575252,0.394512,0.330959,0.739051,0.395925,0.553373,0.321241,0.842000,0.575791,0.691595,0.407286,0.871844,0.469497,0.706202,0.374512,0.861928,0.468384,0.611028,0.371345,0.717305,0.399900,0.724324,0.371364,0.804846,0.471411,0.506626,0.352581,0.622858,0.418596,0.687916,0.368991,0.727226,0.505232,0.468231,0.349296,0.583796,0.406173,0.675244,0.362744,0.731567,0.483673,0.408765,0.399444,0.568794,0.482228,0.643209,0.404775
7400,0.549542,0.574833,0.393575,0.330204,0.738005,0.394641,0.551438,0.319679,0.841749,0.574612,0.692547,0.406877,0.873662,0.468490,0.707200,0.373883,0.862560,0.467091,0.612858,0.371276,0.719030,0.399098,0.725586,0.370711,0.805590,0.470250,0.508226,0.352737,0.623829,0.417788,0.689139,0.368240,0.727073,0.503990,0.469796,0.349588,0.584485,0.405324,0.676268,0.361909,0.732380,0.482823,0.408676,0.399181,0.568890,0.481628,0.643650,0.403677
7600,0.549083,0.574456,0.392658,0.329458,0.737262,0.393505,0.549797,0.318322,0.841103,0.573326,0.693477,0.406581,0.875784,0.467955,0.707929,0.373326,0.862970,0.465684,0.614211,0.371152,0.720785,0.398603,0.727044,0.370194,0.805602,0.469024,0.509676,0.352889,0.624538,0.416871,0.690190,0.367433,0.726770,0.502823,0.471196,0.349835,0.585241,0.404711,0.677243,0.361074,0.733316,0.482124,0.408537,0.398828,0.568487,0.480765,0.643856,0.402638
7800,0.548598,0.573995,0.391954,0.328917,0.736061,0.392244,0.547832,0.316879,0.840652,0.572215,0.694486,0.406407,0.877867,0.467500,0.708714,0.372749,0.863516,0.464347,0.615581,0.371045,0.722277,0.397912,0.728501,0.369689,0.805976,0.468011,0.511154,0.352994,0.625250,0.416108,0.691057,0.366706,0.727009,0.501959,0.472543,0.350096,0.585676,0.404068,0.678377,0.360413,0.734125,0.481514,0.408449,0.398576,0.568660,0.480372,0.644177,0.401647
8000,0.548065,0.573499,0.391062,0.328187,0.734778,0.391053,0.545983,0.315514,0.840559,0.571411,0.695403,0.406216,0.879669,0.466886,0.709347,0.372101,0.864170,0.463271,0.616961,0.370978,0.723818,0.397294,0.729823,0.369135,0.806273,0.467025,0.512478,0.353095,0.625930,0.415343,0.692079,0.366051,0.727183,0.501239,0.473668,0.350209,0.585862,0.403297,0.679285,0.359635,0.734459,0.480630,0.408340,0.398363,0.568699,0.479929,0.644793,0.400857
