step,layer,group,nominal_lr,adam_factor_rms,eff_step_rms,n_params
1200,0,out_proj,9.931635e-04,2.122648e-01,2.108136e-04,4194304
1200,0,qkv_lut,9.931635e-04,2.154590e-01,2.139860e-04,3538944
1200,0,residual_lut,9.931635e-04,2.142154e-01,2.127510e-04,3145728
1200,0,temps,2.979490e-04,5.548217e-01,1.653086e-04,8
1200,0,v_lut,9.931635e-04,2.101649e-01,2.087281e-04,1572864
1200,1,norms,2.979490e-04,2.294810e-01,6.837365e-05,512
1200,1,out_proj,9.931635e-04,2.126690e-01,2.112151e-04,4194304
1200,1,qkv_lut,9.931635e-04,2.158526e-01,2.143769e-04,3538944
1200,1,residual_lut,9.931635e-04,2.155149e-01,2.140415e-04,3145728
1200,1,temps,2.979490e-04,5.168354e-01,1.539906e-04,8
1200,1,v_lut,9.931635e-04,2.006864e-01,1.993144e-04,1572864
1200,2,norms,2.979490e-04,2.090237e-01,6.227841e-05,512
1200,2,out_proj,9.931635e-04,2.136824e-01,2.122216e-04,4194304
1200,2,qkv_lut,9.931635e-04,2.176049e-01,2.161172e-04,3538944
1200,2,residual_lut,9.931635e-04,2.144784e-01,2.130121e-04,3145728
1200,2,temps,2.979490e-04,5.589336e-01,1.665337e-04,8
1200,2,v_lut,9.931635e-04,2.082276e-01,2.068040e-04,1572864
1200,3,norms,2.979490e-04,2.025472e-01,6.034875e-05,512
1200,3,out_proj,9.931635e-04,2.140756e-01,2.126121e-04,4194304
1200,3,qkv_lut,9.931635e-04,2.149214e-01,2.134521e-04,3538944
1200,3,residual_lut,9.931635e-04,2.135977e-01,2.121374e-04,3145728
1200,3,temps,2.979490e-04,4.713377e-01,1.404346e-04,8
1200,3,v_lut,9.931635e-04,1.969743e-01,1.956277e-04,1572864
1200,4,norms,2.979490e-04,1.779541e-01,5.302126e-05,512
1200,4,out_proj,9.931635e-04,2.126830e-01,2.112290e-04,4194304
1200,4,qkv_lut,9.931635e-04,2.067904e-01,2.053767e-04,3538944
1200,4,residual_lut,9.931635e-04,2.136375e-01,2.121770e-04,3145728
1200,4,temps,2.979490e-04,4.078577e-01,1.215208e-04,8
1200,4,v_lut,9.931635e-04,1.903997e-01,1.890980e-04,1572864
1200,5,norms,2.979490e-04,1.817219e-01,5.414387e-05,512
1200,5,out_proj,9.931635e-04,2.101645e-01,2.087277e-04,4194304
1200,5,qkv_lut,9.931635e-04,2.121817e-01,2.107311e-04,3538944
1200,5,residual_lut,9.931635e-04,2.141846e-01,2.127203e-04,3145728
1200,5,temps,2.979490e-04,3.046241e-01,9.076245e-05,8
1200,5,v_lut,9.931635e-04,1.894874e-01,1.881920e-04,1572864
1400,-1,norms,2.954000e-04,4.451360e-01,1.314932e-04,768
1400,-1,tok_emb,2.954000e-04,1.532142e-01,4.525947e-05,2097152
1400,-1,unembedder,2.954000e-04,2.319263e-01,6.851104e-05,12582912
1400,0,norms,2.954000e-04,2.312860e-01,6.832188e-05,512
1400,0,out_proj,9.846666e-04,2.139958e-01,2.107145e-04,4194304
1400,0,qkv_lut,9.846666e-04,2.196311e-01,2.162634e-04,3538944
1400,0,residual_lut,9.846666e-04,2.164143e-01,2.130959e-04,3145728
1400,0,temps,2.954000e-04,5.043567e-01,1.489870e-04,8
1400,0,v_lut,9.846666e-04,2.091256e-01,2.059190e-04,1572864
1400,1,norms,2.954000e-04,2.095224e-01,6.189290e-05,512
1400,1,out_proj,9.846666e-04,2.156679e-01,2.123610e-04,4194304
1400,1,qkv_lut,9.846666e-04,2.180953e-01,2.147511e-04,3538944
1400,1,residual_lut,9.846666e-04,2.172519e-01,2.139207e-04,3145728
1400,1,temps,2.954000e-04,3.911774e-01,1.155538e-04,8
1400,1,v_lut,9.846666e-04,2.011933e-01,1.981084e-04,1572864
1400,2,norms,2.954000e-04,2.225073e-01,6.572867e-05,512
1400,2,out_proj,9.846666e-04,2.159526e-01,2.126413e-04,4194304
1400,2,qkv_lut,9.846666e-04,2.213158e-01,2.179222e-04,3538944
1400,2,residual_lut,9.846666e-04,2.184771e-01,2.151271e-04,3145728
