step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
41500,3.493854,1.138270,19.657097,19.623125,19.603697,19.578203,19.500559,18.589796,1.002604,1.000256,0.999348,0.997768,0.993672,0.946356,10.036770,14.729803,16.073885,23.532654,20.225937,24.514116
42000,3.463853,1.138327,19.657152,19.623127,19.603384,19.578014,19.500458,18.588869,1.002603,1.000255,0.999332,0.997756,0.993667,0.946307,10.046305,14.734017,16.080469,23.549093,20.239676,24.534615
42500,3.460606,1.137755,19.657196,19.623281,19.603529,19.577885,19.499983,18.587303,1.002604,1.000267,0.999336,0.997748,0.993640,0.946221,10.054317,14.738934,16.087702,23.563604,20.251492,24.553871
43000,3.477940,1.137422,19.657286,19.623188,19.603504,19.577503,19.499727,18.585777,1.002607,1.000259,0.999335,0.997726,0.993628,0.946137,10.063061,14.741242,16.094418,23.578329,20.263344,24.573385
43500,3.457451,1.137550,19.657400,19.623350,19.603662,19.577368,19.499783,18.584728,1.002612,1.000265,0.999343,0.997718,0.993630,0.946080,10.072566,14.746663,16.101116,23.590857,20.275337,24.591791
44000,3.450290,1.137060,19.657339,19.623543,19.603828,19.577679,19.499821,18.584183,1.002611,1.000274,0.999351,0.997733,0.993634,0.946052,10.081014,14.752243,16.106640,23.603868,20.285774,24.608519
44500,3.460425,1.137187,19.657377,19.623251,19.603891,19.577375,19.499634,18.582684,1.002613,1.000258,0.999353,0.997714,0.993623,0.945970,10.088324,14.756121,16.114191,23.617439,20.295799,24.625605
45000,3.442996,1.136854,19.657372,19.623194,19.603741,19.577265,19.499264,18.581293,1.002612,1.000255,0.999344,0.997708,0.993600,0.945894,10.095696,14.759138,16.120670,23.628319,20.308102,24.643015
45500,3.438189,1.136952,19.657478,19.622791,19.603806,19.577232,19.499271,18.580471,1.002618,1.000233,0.999345,0.997706,0.993599,0.945851,10.104545,14.764231,16.125614,23.641302,20.318422,24.659836
46000,3.454212,1.136441,19.657513,19.622974,19.603558,19.577009,19.498970,18.579512,1.002619,1.000241,0.999333,0.997693,0.993581,0.945798,10.112810,14.769458,16.131107,23.652939,20.329227,24.673286
46500,3.441279,1.136340,19.657471,19.622742,19.603537,19.577129,19.499159,18.578558,1.002618,1.000230,0.999334,0.997698,0.993588,0.945747,10.121449,14.773725,16.137976,23.664616,20.339409,24.689434
47000,3.448098,1.135937,19.657415,19.622948,19.603399,19.576880,19.499048,18.577347,1.002614,1.000240,0.999323,0.997684,0.993579,0.945684,10.126803,14.777760,16.143633,23.676397,20.350351,24.704483
47500,3.441327,1.136785,19.657387,19.623158,19.603262,19.577038,19.498976,18.576502,1.002611,1.000252,0.999314,0.997693,0.993577,0.945636,10.134273,14.781476,16.149549,23.688271,20.359943,24.720699
48000,3.440667,1.136375,19.657423,19.623158,19.603472,19.577000,19.498539,18.575638,1.002613,1.000253,0.999324,0.997690,0.993554,0.945587,10.141036,14.785520,16.156038,23.700167,20.368700,24.734362
