step,module,touch_frac,c_r_mean,c_r_median,c_r_max,frac_eq1,frac_ge8,frac_ge32,frac_ge64
2000,L5.residual_lut,0.9082,140.94,124,866,0.0000,0.9082,0.8953,0.7949
2200,L0.qkv_lut,1.0000,128.00,101,684,0.0000,0.9995,0.9637,0.7743
2200,L0.v_lut,0.9901,32.32,21,492,0.0107,0.8475,0.3033,0.0930
2200,L0.out_proj,0.9715,32.94,20,765,0.0303,0.7613,0.3395,0.1371
2200,L0.residual_lut,0.9980,128.25,87,1287,0.0032,0.9666,0.8042,0.6113
2200,L1.qkv_lut,0.9967,128.42,86,1293,0.0028,0.9616,0.7980,0.6032
2200,L1.v_lut,0.9219,34.71,16,850,0.0588,0.6372,0.2904,0.1431
2200,L1.out_proj,0.9825,32.57,21,598,0.0230,0.7847,0.3460,0.1354
2200,L1.residual_lut,0.9998,128.03,100,869,0.0010,0.9900,0.8894,0.6946
2200,L2.qkv_lut,0.9946,128.69,100,943,0.0005,0.9880,0.8830,0.6965
2200,L2.v_lut,0.9734,32.87,19,646,0.0317,0.7430,0.3285,0.1402
2200,L2.out_proj,0.9776,32.73,20,564,0.0272,0.7714,0.3404,0.1353
2200,L2.residual_lut,0.9988,128.16,96,949,0.0012,0.9856,0.8650,0.6697
2200,L3.qkv_lut,0.9989,128.15,97,1021,0.0011,0.9808,0.8595,0.6621
2200,L3.v_lut,0.9515,33.63,18,635,0.0472,0.6993,0.3229,0.1435
2200,L3.out_proj,0.9096,35.18,15,1013,0.0674,0.6004,0.2769,0.1421
2200,L3.residual_lut,0.9995,128.06,89,1382,0.0007,0.9875,0.8545,0.6367
2200,L4.qkv_lut,0.9888,129.45,89,1300,0.0055,0.9632,0.8298,0.6274
2200,L4.v_lut,0.9464,33.81,17,1173,0.0396,0.6954,0.2898,0.1306
2200,L4.out_proj,0.8879,36.04,13,1098,0.0813,0.5502,0.2583,0.1368
2200,L4.residual_lut,1.0000,128.00,112,593,0.0000,0.9998,0.9690,0.8264
2200,L5.qkv_lut,0.9976,128.31,115,763,0.0016,0.9935,0.9618,0.8260
2200,L5.v_lut,0.9890,32.35,26,356,0.0064,0.9047,0.3958,0.0995
2200,L5.out_proj,0.9653,33.15,15,762,0.0456,0.6720,0.2890,0.1390
2200,L5.residual_lut,0.9082,140.94,124,1124,0.0000,0.9080,0.8945,0.7976
2400,L0.qkv_lut,1.0000,128.00,101,741,0.0000,0.9993,0.9627,0.7769
2400,L0.v_lut,0.9902,32.32,21,541,0.0114,0.8460,0.3026,0.0932
2400,L0.out_proj,0.9727,32.90,20,781,0.0290,0.7640,0.3397,0.1361
2400,L0.residual_lut,0.9980,128.25,88,1206,0.0039,0.9668,0.8105,0.6118
2400,L1.qkv_lut,0.9980,128.25,87,1213,0.0039,0.9640,0.8091,0.6042
2400,L1.v_lut,0.9233,34.66,16,821,0.0573,0.6405,0.2917,0.1433
2400,L1.out_proj,0.9841,32.52,21,666,0.0234,0.7884,0.3477,0.1367
2400,L1.residual_lut,0.9998,128.03,102,905,0.0005,0.9905,0.8879,0.7024
2400,L2.qkv_lut,0.9946,128.69,101,869,0.0003,0.9880,0.8848,0.7036
2400,L2.v_lut,0.9738,32.86,19,668,0.0320,0.7448,0.3308,0.1396
2400,L2.out_proj,0.9690,33.02,20,560,0.0327,0.7433,0.3287,0.1378
2400,L2.residual_lut,0.9990,128.13,91,957,0.0017,0.9773,0.8406,0.6411
2400,L3.qkv_lut,0.9989,128.15,91,1089,0.0016,0.9766,0.8312,0.6341
2400,L3.v_lut,0.9442,33.89,18,618,0.0501,0.6804,0.3093,0.1426
2400,L3.out_proj,0.9030,35.44,15,1000,0.0667,0.6063,0.2802,0.1426
2400,L3.residual_lut,0.9998,128.03,90,1341,0.0012,0.9875,0.8640,0.6521
2400,L4.qkv_lut,0.9915,129.09,90,1456,0.0052,0.9652,0.8311,0.6257
2400,L4.v_lut,0.9464,33.81,17,1121,0.0387,0.7002,0.2942,0.1317
2400,L4.out_proj,0.8900,35.95,14,772,0.0745,0.5756,0.2713,0.1463
2400,L4.residual_lut,1.0000,128.00,115,673,0.0000,0.9995,0.9736,0.8401
