seed,update,env_steps,ep_ret_mean,ep_ret_max,ep_len_mean,lr,logstd,kl,tau
1,680,178257920,5426.8765387400435,5805.77294921875,971.691527878349,3.8652699887761145e-05,-1.6465566158294678,0.0023090029135346413,0.0857403576374054
1,690,180879360,5399.148775894539,5794.37451171875,966.128813559322,3.6813695619940144e-05,-1.6472266912460327,0.001970407087355852,0.08582594990730286
1,700,183500800,5399.834319526627,5808.97509765625,964.8879437869823,3.5189157312800215e-05,-1.648189902305603,0.002052794676274061,0.08595932275056839
1,710,186122240,5430.04036036036,5807.3759765625,969.5585585585585,3.378180294912734e-05,-1.649049162864685,0.0017977976240217686,0.08614400774240494
1,720,188743680,5377.461766889383,5805.51708984375,960.4658500371195,3.259398714556394e-05,-1.6501412391662598,0.0015999696915969253,0.0863029882311821
1,730,191365120,5396.333828444114,5830.87109375,962.9870033419978,3.162769721314651e-05,-1.651961088180542,0.0017861082451418042,0.08644966781139374
1,740,193986560,5411.7338709677415,5834.68505859375,964.9853372434018,3.088454983237502e-05,-1.6532762050628662,0.0016032337443903089,0.08664710819721222
1,750,196608000,5388.613454545454,5808.7880859375,961.3418181818182,3.0365788348376832e-05,-1.6544121503829956,0.0014574896777048707,0.08673300594091415
1,760,199229440,5395.221682242991,5817.35400390625,961.123738317757,3.0072280690690633e-05,-1.6556529998779297,0.0013323687016963959,0.08668771386146545
2,1,262144,-1.7664743571263837,21.349842071533203,16.34169741697417,0.0002999988705149873,-0.007474987767636776,0.01848437637090683,0.0500812903046608
2,10,2621440,21.369014533602066,385.3225402832031,50.76865906657429,0.0002998870670902326,-0.05821317061781883,0.0031297490932047367,0.049547724425792694
2,20,5242880,250.31925387290548,641.8179321289062,174.76414796079672,0.0002995484573067394,-0.08388599008321762,0.006000100169330835,0.05252951756119728
2,30,7864320,283.38301933259453,807.792236328125,157.45856421622952,0.0002989847371708259,-0.14813818037509918,0.005780591629445553,0.053275272250175476
2,40,10485760,400.58326537269613,1049.6795654296875,194.48996900994945,0.0002981968498314587,-0.20562313497066498,0.005270788911730051,0.05365883558988571
2,50,13107200,674.3971502883637,1337.5621337890625,258.25455162275244,0.00029718611348730165,-0.2674400508403778,0.005356676876544952,0.05551133304834366
2,60,15728640,960.0860849056604,2025.8367919921875,329.53504043126685,0.0002959542191812635,-0.31948041915893555,0.005170753225684166,0.05768711119890213
2,70,18350080,1342.1561131023498,3050.146728515625,442.44763042612504,0.0002945032279712482,-0.3754713535308838,0.005111499223858118,0.05822790786623955
2,80,20971520,2342.9439421338157,3696.1650390625,721.1887884267632,0.0002928355674818394,-0.4364369809627533,0.0053078290075063705,0.05989423394203186
2,90,23592960,3027.547654690619,3968.931396484375,887.8018962075848,0.0002909540278426898,-0.4919354319572449,0.00501406891271472,0.061425771564245224
2,100,26214400,2845.049694708277,4185.08642578125,770.4192672998643,0.00028886175702041143,-0.5454305410385132,0.004814206622540951,0.06313874572515488
2,110,28835840,3098.256838365897,4330.99658203125,793.335701598579,0.0002865622555517741,-0.5992180109024048,0.004968414548784494,0.06480259448289871
2,120,31457280,3608.584814703224,4493.9716796875,883.8451340765291,0.00028405937068702803,-0.6518046259880066,0.004948521964251995,0.0662539005279541
2,130,34078720,3683.8392294220666,4544.7177734375,870.492119089317,0.0002813572899531447,-0.7012106776237488,0.005163868889212608,0.06765038520097733
2,140,36700160,3821.6430407638636,4637.12109375,879.5982372383401,0.0002784605341477492,-0.7519842982292175,0.005825004540383816,0.06889642030000687
2,150,39321600,4055.305600517967,4764.7119140625,913.9336354807381,0.000275373949775464,-0.7975594401359558,0.005194375291466713,0.06979232281446457
2,160,41943040,4117.561120840631,4854.98095703125,908.2115586690018,0.00027210270093931693,-0.834780216217041,0.004992358386516571,0.07076669484376907
2,170,44564480,4165.437180423667,4948.16455078125,904.6822498173849,0.0002686522607007845,-0.8748652338981628,0.00494933407753706,0.07170281559228897
2,180,47185920,4298.630081300813,4956.2607421875,920.060298102981,0.00026502840192292,-0.9144851565361023,0.005320769734680653,0.07257892936468124
2,190,49807360,4324.328162702516,5012.59619140625,916.0620475698036,0.0002612371876118919,-0.9537957906723022,0.005394898355007172,0.07358720153570175
2,200,52428800,4355.919713261649,5058.1337890625,913.0207885304659,0.0002572849607730884,-0.9916089773178101,0.005981948226690292,0.07465492188930511
